aqi,pm2_5,pm10,co,no2,o3,temperature,humidity,wind_speed,hour,day,month
4,46.25,184.83,136.28,1.71,99.14,41.48,26,5.2,19,29,7
4,46.25,184.83,136.28,1.71,99.14,41.48,26,5.2,19,29,7
4,46.25,184.83,136.28,1.71,99.14,41.48,26,5.2,19,29,7
4,46.25,184.83,136.28,1.71,99.14,41.48,26,5.2,19,29,7
4,46.25,184.83,136.28,1.71,99.14,41.48,26,5.2,19,29,7
4,46.25,184.83,136.28,1.71,99.14,41.48,26,5.2,19,29,7
4,46.25,184.83,136.28,1.71,99.14,41.48,26,5.2,19,29,7
4,46.25,184.83,136.28,1.71,99.14,41.48,26,5.2,19,29,7
4,46.25,184.83,136.28,1.71,99.14,40.13,29,5.64,19,29,7
4,47.66,189.09,147.22,2.04,95.49,40.13,29,5.64,19,29,7
4,47.66,189.09,147.22,2.04,95.49,40.13,29,5.64,19,29,7
4,47.66,189.09,147.22,2.04,95.49,40.13,29,5.64,19,29,7
4,47.66,189.09,147.22,2.04,95.49,40.13,29,5.64,19,29,7
4,47.66,189.09,147.22,2.04,95.49,40.13,29,5.64,19,29,7
4,47.66,189.09,147.22,2.04,95.49,40.13,29,5.64,20,29,7
4,47.66,189.09,147.22,2.04,95.49,40.13,29,5.64,20,29,7
