feature,mean_abs_shap,model_version,horizon
carbon_monoxide,9.561699656837057,20260823T164140Z,day1
pm10,8.877067555292907,20260823T164140Z,day1
pm2_5,8.190140624422368,20260823T164140Z,day1
nitrogen_dioxide,6.3070847989732375,20260823T164140Z,day1
sulphur_dioxide,3.7059939936299338,20260823T164140Z,day1
aqi_lag1,3.6246862257087686,20260823T164140Z,day1
aqi_rolling_mean,3.2046059997989844,20260823T164140Z,day1
aqi_lag3,3.1089258921397955,20260823T164140Z,day1
day,2.4361415818380356,20260823T164140Z,day1
aqi_lag2,2.253863029868268,20260823T164140Z,day1
ozone,1.5132764038588644,20260823T164140Z,day1
day_of_week,0.7032798884465129,20260823T164140Z,day1
month,0.38084411359292153,20260823T164140Z,day1
hour,0.0,20260823T164140Z,day1
